,baseline,5-mixed,CA,AU,NZ,UK,US,ZA
0,0.82,0.83,0.83,0.8,0.775,0.825,0.815,0.84
1,0.865,0.825,0.84,0.785,0.81,0.84,0.825,0.845
2,0.88,0.83,0.845,0.805,0.795,0.825,0.795,0.835
3,0.9,0.83,0.835,0.795,0.795,0.805,0.825,0.835
4,0.835,0.82,0.84,0.805,0.795,0.815,0.785,0.825
5,0.83,0.84,0.83,0.795,0.79,0.815,0.82,0.84
6,0.79,0.835,0.86,0.815,0.795,0.825,0.805,0.825
7,0.82,0.835,0.825,0.79,0.785,0.825,0.815,0.83
8,0.865,0.84,0.835,0.79,0.78,0.815,0.82,0.82
9,0.855,0.835,0.865,0.795,0.805,0.845,0.83,0.83
10,0.86,0.83,0.83,0.81,0.795,0.805,0.835,0.82
11,0.855,0.82,0.84,0.81,0.79,0.81,0.82,0.82
12,0.84,0.84,0.84,0.805,0.8,0.825,0.82,0.825
13,0.86,0.845,0.835,0.79,0.8,0.825,0.805,0.825
14,0.82,0.84,0.845,0.815,0.81,0.8,0.83,0.815
15,0.86,0.84,0.83,0.805,0.81,0.8,0.805,0.83
16,0.835,0.84,0.845,0.79,0.795,0.8,0.81,0.86
17,0.845,0.79,0.84,0.8,0.81,0.825,0.805,0.835
18,0.885,0.84,0.84,0.81,0.825,0.835,0.82,0.835
19,0.82,0.835,0.835,0.82,0.795,0.82,0.8,0.835
20,0.78,0.815,0.81,0.8,0.81,0.835,0.815,0.845
21,0.815,0.815,0.83,0.79,0.805,0.8,0.79,0.84
22,0.84,0.82,0.83,0.825,0.81,0.795,0.805,0.85
23,0.86,0.81,0.825,0.805,0.8,0.805,0.82,0.845
24,0.845,0.83,0.815,0.81,0.79,0.795,0.83,0.83
